File, Attirbute
AgMidHiSlopes_Region.csv, CatAreaSqKm
AgMidHiSlopes_Region.csv, WsAreaSqKm
AgMidHiSlopes_Region.csv, CatPctFull
AgMidHiSlopes_Region.csv, WsPctFull
AgMidHiSlopes_Region.csv, PctAg2006Slp20Cat
AgMidHiSlopes_Region.csv, PctAg2006Slp10Cat
AgMidHiSlopes_Region.csv, PctAg2006Slp20Ws
AgMidHiSlopes_Region.csv, PctAg2006Slp10Ws
BFI_Region.csv, CatAreaSqKm
BFI_Region.csv, WsAreaSqKm
BFI_Region.csv, CatPctFull
BFI_Region.csv, WsPctFull
BFI_Region.csv, BFICat
BFI_Region.csv, BFIWs
CanalDensity_Region.csv, CatAreaSqKm
CanalDensity_Region.csv, CatPctFull
CanalDensity_Region.csv, WsAreaSqKm
CanalDensity_Region.csv, WsPctFull
CanalDensity_Region.csv, CanalDensCat
CanalDensity_Region.csv, CanalDensWs
Dams_Region.csv, CatAreaSqKm
Dams_Region.csv, WsAreaSqKm
Dams_Region.csv, CatPctFull
Dams_Region.csv, WsPctFull
Dams_Region.csv, DamDensCat
Dams_Region.csv, DamNIDStorM3Cat
Dams_Region.csv, DamNrmStorM3Cat
Dams_Region.csv, DamDensWs
Dams_Region.csv, DamNIDStorM3Ws
Dams_Region.csv, DamNrmStorM3Ws
Elevation_Region.csv, CatAreaSqKm
Elevation_Region.csv, WsAreaSqKm
Elevation_Region.csv, CatPctFull
Elevation_Region.csv, WsPctFull
Elevation_Region.csv, ElevCat
Elevation_Region.csv, ElevWs
EPA_FRSRipBuf100_Region.csv, CatAreaSqKmRp100
EPA_FRSRipBuf100_Region.csv, WsAreaSqKmRp100
EPA_FRSRipBuf100_Region.csv, CatPctFullRp100
EPA_FRSRipBuf100_Region.csv, WsPctFullRp100
EPA_FRSRipBuf100_Region.csv, NPDESDensCatRp100
EPA_FRSRipBuf100_Region.csv, SuperfundDensCatRp100
EPA_FRSRipBuf100_Region.csv, TRIDensCatRp100
EPA_FRSRipBuf100_Region.csv, NPDESDensWsRp100
EPA_FRSRipBuf100_Region.csv, SuperfundDensWsRp100
EPA_FRSRipBuf100_Region.csv, TRIDensWsRp100
EPA_FRS_Region.csv, CatAreaSqKm
EPA_FRS_Region.csv, WsAreaSqKm
EPA_FRS_Region.csv, CatPctFull
EPA_FRS_Region.csv, WsPctFull
EPA_FRS_Region.csv, NPDESDensCat
EPA_FRS_Region.csv, SuperfundDensCat
EPA_FRS_Region.csv, TRIDensCat
EPA_FRS_Region.csv, NPDESDensWs
EPA_FRS_Region.csv, SuperfundDensWs
EPA_FRS_Region.csv, TRIDensWs
ImperviousSurfaces2006RipBuf100_Region.csv, CatAreaSqKmRp100
ImperviousSurfaces2006RipBuf100_Region.csv, WsAreaSqKmRp100
ImperviousSurfaces2006RipBuf100_Region.csv, CatPctFullRp100
ImperviousSurfaces2006RipBuf100_Region.csv, WsPctFullRp100
ImperviousSurfaces2006RipBuf100_Region.csv, PctImp2006CatRp100
ImperviousSurfaces2006RipBuf100_Region.csv, PctImp2006WsRp100
ImperviousSurfaces2006_Region.csv, CatAreaSqKm
ImperviousSurfaces2006_Region.csv, WsAreaSqKm
ImperviousSurfaces2006_Region.csv, CatPctFull
ImperviousSurfaces2006_Region.csv, WsPctFull
ImperviousSurfaces2006_Region.csv, PctImp2006Cat
ImperviousSurfaces2006_Region.csv, PctImp2006Ws
Kffact_Region.csv, CatAreaSqKm
Kffact_Region.csv, WsAreaSqKm
Kffact_Region.csv, CatPctFull
Kffact_Region.csv, WsPctFull
Kffact_Region.csv, KffactCat
Kffact_Region.csv, KffactWs
Lithology_Region.csv, CatAreaSqKm
Lithology_Region.csv, CatPctFull
Lithology_Region.csv, WsAreaSqKm
Lithology_Region.csv, WsPctFull
Lithology_Region.csv, PctCarbResidCat
Lithology_Region.csv, PctNonCarbResidCat
Lithology_Region.csv, PctAlkIntruVolCat
Lithology_Region.csv, PctSilicicCat
Lithology_Region.csv, PctExtruVolCat
Lithology_Region.csv, PctColluvSedCat
Lithology_Region.csv, PctGlacTilClayCat
Lithology_Region.csv, PctGlacTilLoamCat
Lithology_Region.csv, PctGlacTilCrsCat
Lithology_Region.csv, PctGlacLakeCrsCat
Lithology_Region.csv, PctGlacLakeFineCat
Lithology_Region.csv, PctHydricCat
Lithology_Region.csv, PctEolCrsCat
Lithology_Region.csv, PctEolFineCat
Lithology_Region.csv, PctSalLakeCat
Lithology_Region.csv, PctAlluvCoastCat
Lithology_Region.csv, PctCoastCrsCat
Lithology_Region.csv, PctWaterCat
Lithology_Region.csv, PctCarbResidWs
Lithology_Region.csv, PctNonCarbResidWs
Lithology_Region.csv, PctAlkIntruVolWs
Lithology_Region.csv, PctSilicicWs
Lithology_Region.csv, PctExtruVolWs
Lithology_Region.csv, PctColluvSedWs
Lithology_Region.csv, PctGlacTilClayWs
Lithology_Region.csv, PctGlacTilLoamWs
Lithology_Region.csv, PctGlacTilCrsWs
Lithology_Region.csv, PctGlacLakeCrsWs
Lithology_Region.csv, PctGlacLakeFineWs
Lithology_Region.csv, PctHydricWs
Lithology_Region.csv, PctEolCrsWs
Lithology_Region.csv, PctEolFineWs
Lithology_Region.csv, PctSalLakeWs
Lithology_Region.csv, PctAlluvCoastWs
Lithology_Region.csv, PctCoastCrsWs
Lithology_Region.csv, PctWaterWs
MinesRipBuf100_Region.csv, CatAreaSqKmRp100
MinesRipBuf100_Region.csv, WsAreaSqKmRp100
MinesRipBuf100_Region.csv, CatPctFullRp100
MinesRipBuf100_Region.csv, WsPctFullRp100
MinesRipBuf100_Region.csv, MineDensCatRp100
MinesRipBuf100_Region.csv, MineDensWsRp100
Mines_Region.csv, CatAreaSqKm
Mines_Region.csv, WsAreaSqKm
Mines_Region.csv, CatPctFull
Mines_Region.csv, WsPctFull
Mines_Region.csv, MineDensCat
Mines_Region.csv, MineDensWs
NABD_Region.csv, CatAreaSqKm
NABD_Region.csv, WsAreaSqKm
NABD_Region.csv, CatPctFull
NABD_Region.csv, WsPctFull
NABD_Region.csv, NABD_DensCat
NABD_Region.csv, NABD_NIDStorM3Cat
NABD_Region.csv, NABD_NrmStorM3Cat
NABD_Region.csv, NABD_DensWs
NABD_Region.csv, NABD_NIDStorM3Ws
NABD_Region.csv, NABD_NrmStorM3Ws
NADP_Region.csv, CatAreaSqKm
NADP_Region.csv, WsAreaSqKm
NADP_Region.csv, CatPctFull
NADP_Region.csv, WsPctFull
NADP_Region.csv, SN_2008Cat
NADP_Region.csv, InorgNWetDep_2008Cat
NADP_Region.csv, NH4_2008Cat
NADP_Region.csv, NO3_2008Cat
NADP_Region.csv, SN_2008Ws
NADP_Region.csv, InorgNWetDep_2008Ws
NADP_Region.csv, NH4_2008Ws
NADP_Region.csv, NO3_2008Ws
NLCD2006RipBuf100_Region.csv, CatAreaSqKmRp100
NLCD2006RipBuf100_Region.csv, WsAreaSqKmRp100
NLCD2006RipBuf100_Region.csv, CatPctFullRp100
NLCD2006RipBuf100_Region.csv, WsPctFullRp100
NLCD2006RipBuf100_Region.csv, PctOw2006CatRp100
NLCD2006RipBuf100_Region.csv, PctIce2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbOp2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbLo2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbMd2006CatRp100
NLCD2006RipBuf100_Region.csv, PctUrbHi2006CatRp100
NLCD2006RipBuf100_Region.csv, PctBl2006CatRp100
NLCD2006RipBuf100_Region.csv, PctDecid2006CatRp100
NLCD2006RipBuf100_Region.csv, PctConif2006CatRp100
NLCD2006RipBuf100_Region.csv, PctMxFst2006CatRp100
NLCD2006RipBuf100_Region.csv, PctShrb2006CatRp100
NLCD2006RipBuf100_Region.csv, PctGrs2006CatRp100
NLCD2006RipBuf100_Region.csv, PctHay2006CatRp100
NLCD2006RipBuf100_Region.csv, PctCrop2006CatRp100
NLCD2006RipBuf100_Region.csv, PctWdWet2006CatRp100
NLCD2006RipBuf100_Region.csv, PctHbWet2006CatRp100
NLCD2006RipBuf100_Region.csv, PctOw2006WsRp100
NLCD2006RipBuf100_Region.csv, PctIce2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbOp2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbLo2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbMd2006WsRp100
NLCD2006RipBuf100_Region.csv, PctUrbHi2006WsRp100
NLCD2006RipBuf100_Region.csv, PctBl2006WsRp100
NLCD2006RipBuf100_Region.csv, PctDecid2006WsRp100
NLCD2006RipBuf100_Region.csv, PctConif2006WsRp100
NLCD2006RipBuf100_Region.csv, PctMxFst2006WsRp100
NLCD2006RipBuf100_Region.csv, PctShrb2006WsRp100
NLCD2006RipBuf100_Region.csv, PctGrs2006WsRp100
NLCD2006RipBuf100_Region.csv, PctHay2006WsRp100
NLCD2006RipBuf100_Region.csv, PctCrop2006WsRp100
NLCD2006RipBuf100_Region.csv, PctWdWet2006WsRp100
NLCD2006RipBuf100_Region.csv, PctHbWet2006WsRp100
NLCD2006_Region.csv, CatAreaSqKm
NLCD2006_Region.csv, CatPctFull
NLCD2006_Region.csv, WsAreaSqKm
NLCD2006_Region.csv, WsPctFull
NLCD2006_Region.csv, PctOw2006Cat
NLCD2006_Region.csv, PctIce2006Cat
NLCD2006_Region.csv, PctUrbOp2006Cat
NLCD2006_Region.csv, PctUrbLo2006Cat
NLCD2006_Region.csv, PctUrbMd2006Cat
NLCD2006_Region.csv, PctUrbHi2006Cat
NLCD2006_Region.csv, PctBl2006Cat
NLCD2006_Region.csv, PctDecid2006Cat
NLCD2006_Region.csv, PctConif2006Cat
NLCD2006_Region.csv, PctMxFst2006Cat
NLCD2006_Region.csv, PctShrb2006Cat
NLCD2006_Region.csv, PctGrs2006Cat
NLCD2006_Region.csv, PctHay2006Cat
NLCD2006_Region.csv, PctCrop2006Cat
NLCD2006_Region.csv, PctWdWet2006Cat
NLCD2006_Region.csv, PctHbWet2006Cat
NLCD2006_Region.csv, PctOw2006Ws
NLCD2006_Region.csv, PctIce2006Ws
NLCD2006_Region.csv, PctUrbOp2006Ws
NLCD2006_Region.csv, PctUrbLo2006Ws
NLCD2006_Region.csv, PctUrbMd2006Ws
NLCD2006_Region.csv, PctUrbHi2006Ws
NLCD2006_Region.csv, PctBl2006Ws
NLCD2006_Region.csv, PctDecid2006Ws
NLCD2006_Region.csv, PctConif2006Ws
NLCD2006_Region.csv, PctMxFst2006Ws
NLCD2006_Region.csv, PctShrb2006Ws
NLCD2006_Region.csv, PctGrs2006Ws
NLCD2006_Region.csv, PctHay2006Ws
NLCD2006_Region.csv, PctCrop2006Ws
NLCD2006_Region.csv, PctWdWet2006Ws
NLCD2006_Region.csv, PctHbWet2006Ws
NLCD2011RipBuf100_Region.csv, CatAreaSqKmRp100
NLCD2011RipBuf100_Region.csv, WsAreaSqKmRp100
NLCD2011RipBuf100_Region.csv, CatPctFullRp100
NLCD2011RipBuf100_Region.csv, WsPctFullRp100
NLCD2011RipBuf100_Region.csv, PctOw2011CatRp100
NLCD2011RipBuf100_Region.csv, PctIce2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbOp2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbLo2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbMd2011CatRp100
NLCD2011RipBuf100_Region.csv, PctUrbHi2011CatRp100
NLCD2011RipBuf100_Region.csv, PctBl2011CatRp100
NLCD2011RipBuf100_Region.csv, PctDecid2011CatRp100
NLCD2011RipBuf100_Region.csv, PctConif2011CatRp100
NLCD2011RipBuf100_Region.csv, PctMxFst2011CatRp100
NLCD2011RipBuf100_Region.csv, PctShrb2011CatRp100
NLCD2011RipBuf100_Region.csv, PctGrs2011CatRp100
NLCD2011RipBuf100_Region.csv, PctHay2011CatRp100
NLCD2011RipBuf100_Region.csv, PctCrop2011CatRp100
NLCD2011RipBuf100_Region.csv, PctWdWet2011CatRp100
NLCD2011RipBuf100_Region.csv, PctHbWet2011CatRp100
NLCD2011RipBuf100_Region.csv, PctOw2011WsRp100
NLCD2011RipBuf100_Region.csv, PctIce2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbOp2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbLo2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbMd2011WsRp100
NLCD2011RipBuf100_Region.csv, PctUrbHi2011WsRp100
NLCD2011RipBuf100_Region.csv, PctBl2011WsRp100
NLCD2011RipBuf100_Region.csv, PctDecid2011WsRp100
NLCD2011RipBuf100_Region.csv, PctConif2011WsRp100
NLCD2011RipBuf100_Region.csv, PctMxFst2011WsRp100
NLCD2011RipBuf100_Region.csv, PctShrb2011WsRp100
NLCD2011RipBuf100_Region.csv, PctGrs2011WsRp100
NLCD2011RipBuf100_Region.csv, PctHay2011WsRp100
NLCD2011RipBuf100_Region.csv, PctCrop2011WsRp100
NLCD2011RipBuf100_Region.csv, PctWdWet2011WsRp100
NLCD2011RipBuf100_Region.csv, PctHbWet2011WsRp100
NLCD2011_Region.csv, CatAreaSqKm
NLCD2011_Region.csv, WsAreaSqKm
NLCD2011_Region.csv, CatPctFull
NLCD2011_Region.csv, WsPctFull
NLCD2011_Region.csv, PctOw2011Cat
NLCD2011_Region.csv, PctIce2011Cat
NLCD2011_Region.csv, PctUrbOp2011Cat
NLCD2011_Region.csv, PctUrbLo2011Cat
NLCD2011_Region.csv, PctUrbMd2011Cat
NLCD2011_Region.csv, PctUrbHi2011Cat
NLCD2011_Region.csv, PctBl2011Cat
NLCD2011_Region.csv, PctDecid2011Cat
NLCD2011_Region.csv, PctConif2011Cat
NLCD2011_Region.csv, PctMxFst2011Cat
NLCD2011_Region.csv, PctShrb2011Cat
NLCD2011_Region.csv, PctGrs2011Cat
NLCD2011_Region.csv, PctHay2011Cat
NLCD2011_Region.csv, PctCrop2011Cat
NLCD2011_Region.csv, PctWdWet2011Cat
NLCD2011_Region.csv, PctHbWet2011Cat
NLCD2011_Region.csv, PctOw2011Ws
NLCD2011_Region.csv, PctIce2011Ws
NLCD2011_Region.csv, PctUrbOp2011Ws
NLCD2011_Region.csv, PctUrbLo2011Ws
NLCD2011_Region.csv, PctUrbMd2011Ws
NLCD2011_Region.csv, PctUrbHi2011Ws
NLCD2011_Region.csv, PctBl2011Ws
NLCD2011_Region.csv, PctDecid2011Ws
NLCD2011_Region.csv, PctConif2011Ws
NLCD2011_Region.csv, PctMxFst2011Ws
NLCD2011_Region.csv, PctShrb2011Ws
NLCD2011_Region.csv, PctGrs2011Ws
NLCD2011_Region.csv, PctHay2011Ws
NLCD2011_Region.csv, PctCrop2011Ws
NLCD2011_Region.csv, PctWdWet2011Ws
NLCD2011_Region.csv, PctHbWet2011Ws
Pesticides97_Region.csv, CatAreaSqKm
Pesticides97_Region.csv, CatPctFull
Pesticides97_Region.csv, WsAreaSqKm
Pesticides97_Region.csv, WsPctFull
Pesticides97_Region.csv, Pestic97Cat
Pesticides97_Region.csv, Pestic97Ws
PRISM_Region.csv, CatAreaSqKm
PRISM_Region.csv, WsAreaSqKm
PRISM_Region.csv, CatPctFull
PRISM_Region.csv, WsPctFull
PRISM_Region.csv, PrecipCat
PRISM_Region.csv, TmaxCat
PRISM_Region.csv, TmeanCat
PRISM_Region.csv, TminCat
PRISM_Region.csv, PrecipWs
PRISM_Region.csv, TmaxWs
PRISM_Region.csv, TmeanWs
PRISM_Region.csv, TminWs
RoadDensityRipBuf100_Region.csv, CatAreaSqKmRp100
RoadDensityRipBuf100_Region.csv, WsAreaSqKmRp100
RoadDensityRipBuf100_Region.csv, CatPctFullRp100
RoadDensityRipBuf100_Region.csv, WsPctFullRp100
RoadDensityRipBuf100_Region.csv, RdDensCatRp100
RoadDensityRipBuf100_Region.csv, RdDensWsRp100
RoadDensity_Region.csv, CatAreaSqKm
RoadDensity_Region.csv, WsAreaSqKm
RoadDensity_Region.csv, CatPctFull
RoadDensity_Region.csv, WsPctFull
RoadDensity_Region.csv, RdDensCat
RoadDensity_Region.csv, RdDensWs
RoadStreamCrossings_Region.csv, CatAreaSqKm
RoadStreamCrossings_Region.csv, CatPctFull
RoadStreamCrossings_Region.csv, WsAreaSqKm
RoadStreamCrossings_Region.csv, WsPctFull
RoadStreamCrossings_Region.csv, RdCrsCat
RoadStreamCrossings_Region.csv, RdCrsWs
Runoff_Region.csv, CatAreaSqKm
Runoff_Region.csv, CatPctFull
Runoff_Region.csv, WsAreaSqKm
Runoff_Region.csv, WsPctFull
Runoff_Region.csv, RunoffCat
Runoff_Region.csv, RunoffWs
STATSGO_Set1_Region.csv, CatAreaSqKm
STATSGO_Set1_Region.csv, CatPctFull
STATSGO_Set1_Region.csv, WsAreaSqKm
STATSGO_Set1_Region.csv, WsPctFull
STATSGO_Set1_Region.csv, ClayCat
STATSGO_Set1_Region.csv, SandCat
STATSGO_Set1_Region.csv, ClayWs
STATSGO_Set1_Region.csv, SandWs
STATSGO_Set2_Region.csv, CatAreaSqKm
STATSGO_Set2_Region.csv, CatPctFull
STATSGO_Set2_Region.csv, WsAreaSqKm
STATSGO_Set2_Region.csv, WsPctFull
STATSGO_Set2_Region.csv, OmCat
STATSGO_Set2_Region.csv, RckDepCat
STATSGO_Set2_Region.csv, WtDepCat
STATSGO_Set2_Region.csv, PermCat
STATSGO_Set2_Region.csv, OmWs
STATSGO_Set2_Region.csv, RckDepWs
STATSGO_Set2_Region.csv, WtDepWs
STATSGO_Set2_Region.csv, PermWs
USCensus2010RipBuf100_Region.csv, CatAreaSqKmRp100
USCensus2010RipBuf100_Region.csv, WsAreaSqKmRp100
USCensus2010RipBuf100_Region.csv, CatPctFullRp100
USCensus2010RipBuf100_Region.csv, WsPctFullRp100
USCensus2010RipBuf100_Region.csv, PopDen2010CatRp100
USCensus2010RipBuf100_Region.csv, PopDen2010WsRp100
USCensus2010_Region.csv, CatAreaSqKm
USCensus2010_Region.csv, WsAreaSqKm
USCensus2010_Region.csv, CatPctFull
USCensus2010_Region.csv, WsPctFull
USCensus2010_Region.csv, HUDen2010Cat
USCensus2010_Region.csv, PopDen2010Cat
USCensus2010_Region.csv, HUDen2010Ws
USCensus2010_Region.csv, PopDen2010Ws
